Booking_ID,Customer_ID,Flight_ID,Booking_Date,Travel_Class,Seat_Number,Ticket_Price,Booking_Status
57,22,245,2026-05-07,Premium Economy,26E,792.49,Cancelled
58,220,620,2026-06-12,Economy,14C,902.33,Cancelled
59,485,325,2026-01-23,Business,29F,242.29,Completed
60,77,568,2026-01-06,First Class,32A,4028.08,Confirmed
61,283,346,2026-07-22,Economy,25D,188.58,Completed
62,234,158,2025-10-20,Economy,17F,172.13,Confirmed
63,404,659,2025-09-02,Business,31F,601.98,Confirmed
64,446,770,2026-09-06,First Class,38A,1028.58,Completed
65,500,758,2026-11-02,Economy,15D,758.17,Confirmed
66,54,4,2026-08-09,Business,6A,1384.95,Completed
67,481,776,2025-08-28,Premium Economy,22E,135.3,Cancelled
68,324,943,2026-02-12,Economy,10F,532.43,Confirmed
69,204,754,2026-04-28,Premium Economy,19F,1215.59,Confirmed
70,118,239,2026-04-12,Economy,6A,856.08,Confirmed
71,340,583,2026-07-27,First Class,1F,4346.58,Cancelled
72,227,676,2026-12-23,Business,34A,1105.24,Completed
73,493,956,2026-01-19,Economy,16F,980.94,Cancelled
74,297,421,2026-01-19,First Class,2B,4258.71,Confirmed
75,404,636,2026-01-23,Economy,18F,65.69,Cancelled
76,97,216,2026-02-27,Economy,2A,266.65,Confirmed
77,98,714,2026-03-10,Economy,35B,871.03,Confirmed
78,199,901,2026-03-19,Economy,1A,769.83,Completed
79,308,750,2025-11-02,Economy,36D,596.53,Confirmed
80,358,589,2026-02-20,Economy,12A,525.0,Confirmed
81,283,666,2026-11-05,Economy,3E,49.66,Confirmed
82,164,364,2026-07-12,Premium Economy,8F,1317.86,Completed
83,225,682,2026-02-04,Business,23F,1290.62,Confirmed
84,238,167,2026-07-29,Premium Economy,12C,551.33,Confirmed
85,331,507,2026-07-10,Premium Economy,34E,319.52,Confirmed
86,461,437,2025-11-11,Economy,3F,489.48,Confirmed
87,484,921,2026-04-09,Economy,26F,483.18,Confirmed
88,323,409,2026-07-04,Premium Economy,14E,383.96,Confirmed
89,404,824,2026-06-03,Economy,16F,737.99,Completed
90,156,291,2026-04-18,First Class,5D,983.36,Completed
91,309,667,2025-11-30,Economy,9F,121.89,Confirmed
92,436,158,2025-11-06,Economy,8E,998.47,Confirmed
93,354,339,2026-05-24,Premium Economy,13D,545.34,Confirmed
94,427,473,2025-08-09,Premium Economy,12A,561.54,Cancelled
95,253,231,2026-03-27,Premium Economy,9F,180.68,Confirmed
96,198,85,2025-11-19,Premium Economy,3E,1471.84,Cancelled
97,201,21,2026-03-13,First Class,31D,2339.1,Completed
98,307,104,2025-08-21,First Class,24E,690.88,Confirmed
99,50,92,2026-02-23,Premium Economy,4B,560.22,Completed
100,48,531,2026-08-04,Premium Economy,11C,461.05,Confirmed
101,401,462,2026-03-01,Economy,40E,698.34,Completed
102,302,712,2026-07-03,Business,18C,830.91,Confirmed
103,67,171,2025-08-09,Business,23F,854.12,Confirmed
104,163,423,2026-05-19,Premium Economy,5D,481.62,Completed
105,134,995,2026-09-12,Economy,7F,133.15,Confirmed
106,53,272,2026-01-08,Business,25B,169.19,Cancelled
107,29,200,2026-05-27,Economy,31B,744.72,Confirmed
108,296,1000,2025-10-27,Economy,5E,318.58,Completed
109,96,22,2026-06-01,Premium Economy,31F,531.43,Cancelled
110,368,112,2026-01-07,Economy,18D,85.57,Confirmed
111,62,717,2025-12-02,Premium Economy,4F,343.14,Cancelled
112,93,769,2026-04-25,First Class,37B,758.47,Confirmed
113,150,53,2026-05-06,Business,8F,355.99,Completed
114,132,974,2026-04-12,Economy,29E,702.94,Cancelled
115,186,851,2025-10-01,Economy,37C,104.92,Confirmed
116,429,275,2025-08-16,Premium Economy,22A,1521.54,Confirmed
117,260,766,2026-06-09,Premium Economy,26F,665.08,Confirmed
118,291,129,2026-09-19,Premium Economy,24B,1408.25,Confirmed
119,218,789,2026-05-02,Economy,13B,858.74,Completed
120,175,757,2026-02-12,Premium Economy,3D,745.99,Completed
121,237,390,2026-06-13,Economy,18A,474.69,Confirmed
122,231,674,2026-08-10,Economy,17A,88.05,Confirmed
123,278,391,2026-01-05,Premium Economy,23A,894.4,Confirmed
124,184,691,2026-02-04,Economy,2D,767.73,Completed
125,138,357,2025-11-16,Economy,2B,981.55,Cancelled
126,34,989,2026-01-08,Economy,16B,290.95,Cancelled
127,220,510,2026-01-27,First Class,4F,1504.41,Confirmed
128,100,473,2025-11-28,Economy,32D,150.63,Cancelled
129,63,13,2026-07-08,Economy,18F,309.15,Confirmed
130,333,115,2026-09-23,Business,16C,1888.93,Confirmed
131,480,242,2026-06-29,Economy,15F,781.08,Completed
132,42,478,2026-01-14,Economy,34B,964.2,Completed
133,355,625,2026-02-16,Economy,26D,773.77,Completed
134,177,295,2026-05-22,Economy,38D,217.82,Confirmed
135,495,338,2026-01-21,Business,4A,1495.61,Confirmed
136,61,690,2026-04-26,First Class,23B,3721.64,Confirmed
137,189,371,2026-10-25,Economy,30E,218.03,Confirmed
138,43,26,2025-09-02,Economy,37C,630.17,Confirmed
139,476,143,2026-01-31,Business,9A,2129.38,Confirmed
140,299,204,2026-04-11,Economy,24E,292.46,Cancelled
141,482,849,2026-08-12,Economy,4E,100.89,Confirmed
142,195,104,2025-12-01,Economy,2B,547.34,Confirmed
143,203,42,2026-01-18,Economy,34C,423.57,Cancelled
144,398,990,2026-10-22,First Class,20C,899.54,Cancelled
145,247,814,2025-09-15,Premium Economy,17D,1129.86,Confirmed
146,336,993,2026-04-26,Economy,12B,940.13,Confirmed
147,376,353,2026-12-11,Economy,5E,600.64,Confirmed
148,382,959,2025-11-29,First Class,4C,668.02,Confirmed
149,485,130,2026-06-10,Economy,39C,720.92,Cancelled
150,173,196,2026-03-24,Business,2A,150.81,Completed
151,70,648,2026-05-06,Economy,15D,646.3,Cancelled
152,144,701,2026-12-06,Economy,20A,743.29,Completed
153,87,980,2026-03-16,Economy,31B,227.37,Confirmed
154,440,72,2025-07-20,Economy,1C,909.99,Confirmed
155,413,288,2025-11-24,Economy,3A,147.67,Cancelled
156,236,111,2026-09-23,Economy,32D,102.13,Confirmed
157,78,262,2025-10-19,Economy,18A,512.69,Confirmed
158,57,637,2026-03-07,First Class,3A,1741.6,Cancelled
159,215,543,2026-05-08,Economy,26A,786.2,Confirmed
160,196,462,2026-03-11,Economy,18C,1003.62,Confirmed
161,172,510,2025-11-08,Business,28B,2322.48,Confirmed
162,2,103,2026-03-23,Economy,3B,677.22,Completed
163,145,622,2025-12-01,Economy,37B,402.39,Cancelled
164,493,306,2026-04-28,Premium Economy,30A,464.28,Completed
165,450,500,2026-04-16,Premium Economy,31A,615.02,Completed
166,118,225,2026-11-02,Premium Economy,38E,1532.8,Confirmed
167,211,855,2025-09-19,Economy,1C,302.79,Completed
168,490,308,2026-07-04,First Class,36D,1371.29,Confirmed
169,33,555,2026-02-17,Premium Economy,28F,140.28,Confirmed
170,80,947,2025-07-25,First Class,6D,547.14,Completed
171,167,328,2026-07-11,Economy,3D,118.07,Confirmed
172,439,755,2025-12-17,Economy,15E,200.0,Cancelled
173,306,607,2026-05-27,First Class,9A,1982.14,Confirmed
174,408,248,2026-01-31,Economy,3E,1110.84,Confirmed
175,442,790,2026-05-19,Business,19F,1978.4,Cancelled
176,362,131,2026-03-30,First Class,6D,2294.7,Cancelled
177,383,945,2026-03-22,Premium Economy,14F,1036.18,Completed
178,57,276,2026-05-19,Business,38F,849.15,Confirmed
179,42,550,2026-01-16,Premium Economy,16D,1123.18,Confirmed
180,255,915,2025-11-20,Economy,23C,511.29,Confirmed
181,445,838,2025-10-20,Economy,15D,774.89,Cancelled
182,168,87,2026-02-18,Premium Economy,18D,265.18,Confirmed
183,222,403,2025-10-03,Economy,22E,271.39,Confirmed
184,26,374,2026-03-13,Premium Economy,17D,1018.73,Confirmed
185,110,967,2025-10-24,Economy,13F,100.13,Cancelled
186,31,591,2025-11-08,Economy,6C,651.48,Completed
187,379,943,2025-12-29,Economy,6C,597.04,Confirmed
188,424,630,2026-05-16,Premium Economy,32F,677.95,Completed
189,450,358,2025-10-10,Economy,18A,484.48,Confirmed
190,307,645,2026-01-15,Premium Economy,26D,1234.43,Confirmed
191,165,816,2026-05-05,Premium Economy,35C,341.47,Completed
192,372,769,2026-02-22,Economy,31E,797.57,Confirmed
193,387,238,2025-11-28,Premium Economy,14A,409.52,Confirmed
194,161,431,2026-03-21,Economy,31D,457.7,Confirmed
195,481,324,2025-12-31,First Class,13B,668.35,Completed
196,270,816,2026-04-23,Premium Economy,30E,391.83,Confirmed
197,186,73,2026-05-27,Economy,1E,950.76,Completed
198,132,396,2026-06-05,Economy,13C,893.03,Confirmed
199,196,11,2026-01-23,Economy,8F,761.82,Confirmed
200,396,586,2025-09-22,Economy,30A,452.51,Confirmed
201,124,480,2025-11-02,Economy,7C,879.81,Confirmed
202,164,754,2026-04-20,Business,23D,889.7,Cancelled
203,405,8,2026-09-01,Economy,5F,237.91,Confirmed
204,141,632,2025-10-21,Premium Economy,33C,594.72,Completed
205,286,180,2025-11-15,Economy,17B,309.31,Completed
206,76,627,2026-11-11,Economy,6E,123.62,Confirmed
207,294,881,2026-08-02,Economy,35B,855.1,Confirmed
208,454,484,2026-09-20,Premium Economy,30F,1125.73,Confirmed
209,335,665,2026-01-22,Business,20E,2304.01,Confirmed
210,242,10,2026-06-24,First Class,39A,3184.86,Confirmed
211,140,291,2026-02-07,Premium Economy,21A,640.51,Completed
212,236,634,2026-04-26,Business,25B,1351.45,Cancelled
213,276,885,2025-10-02,Economy,39D,612.19,Confirmed
214,345,110,2026-04-09,Economy,10B,436.18,Confirmed
215,113,578,2026-05-23,Business,6B,665.79,Confirmed
216,414,370,2026-05-22,Economy,16C,968.45,Confirmed
217,327,664,2026-08-09,Economy,37D,1055.85,Confirmed
218,343,732,2025-10-10,Economy,8B,747.98,Completed
219,211,266,2026-07-20,Business,17F,599.02,Confirmed
220,424,702,2026-01-18,Premium Economy,13B,803.95,Confirmed
221,109,15,2025-12-19,Economy,36C,537.67,Confirmed
222,201,890,2026-11-10,Premium Economy,32D,1186.2,Confirmed
223,361,441,2026-04-14,Economy,11E,193.04,Confirmed
224,166,513,2026-04-25,Economy,40A,323.87,Confirmed
225,18,834,2025-10-26,Economy,14D,126.81,Confirmed
226,319,97,2026-01-27,Premium Economy,31F,932.11,Confirmed
227,285,104,2025-11-02,Economy,30F,783.32,Confirmed
228,428,41,2025-10-24,Premium Economy,36D,842.23,Cancelled
229,459,163,2026-04-04,Economy,2A,855.49,Confirmed
230,141,249,2026-02-16,Economy,21C,667.73,Confirmed
231,55,769,2025-12-05,Premium Economy,19B,296.54,Confirmed
232,144,69,2025-09-03,Economy,37C,332.33,Completed
233,312,675,2026-02-01,Premium Economy,23E,1323.16,Confirmed
234,284,898,2025-12-26,Business,27B,2369.33,Cancelled
235,79,237,2025-09-16,Premium Economy,35C,585.46,Completed
236,172,310,2026-04-01,Economy,21F,886.26,Confirmed
237,366,844,2026-03-18,Economy,15D,274.15,Confirmed
238,82,4,2026-04-19,Business,8E,606.17,Cancelled
239,50,860,2026-02-23,First Class,4A,3788.56,Confirmed
240,173,56,2026-11-11,Economy,30F,927.53,Confirmed
241,76,503,2026-01-01,Economy,22F,242.19,Confirmed
242,373,153,2026-04-10,Economy,10C,793.62,Confirmed
243,287,343,2026-09-13,Economy,20C,640.2,Confirmed
244,308,648,2026-04-24,Premium Economy,23A,815.27,Confirmed
245,407,811,2026-09-04,Economy,5E,238.1,Confirmed
246,398,415,2026-02-20,Business,23C,912.28,Confirmed
247,315,998,2025-10-15,Business,33E,2350.27,Confirmed
248,60,383,2026-03-02,Economy,29A,302.91,Completed
249,204,647,2026-07-02,First Class,3A,1680.43,Confirmed
250,284,204,2025-11-22,Economy,31E,265.19,Completed
251,198,82,2025-12-10,Economy,19B,551.64,Confirmed
252,384,507,2026-08-12,Economy,27B,474.9,Cancelled
253,115,350,2026-04-27,First Class,3D,3074.24,Completed
254,422,594,2026-07-29,Economy,22C,198.53,Confirmed
255,117,950,2026-07-24,Economy,38D,376.34,Confirmed
256,473,35,2025-12-16,First Class,34B,3036.02,Confirmed
257,408,731,2025-12-14,Economy,22E,784.74,Confirmed
258,241,397,2026-09-15,Business,7C,1754.79,Confirmed
259,197,781,2026-08-12,Economy,29C,602.21,Confirmed
260,454,405,2026-05-04,Economy,18B,496.97,Confirmed
261,137,501,2025-09-04,Economy,25C,796.7,Completed
262,233,918,2025-09-12,Economy,27B,254.24,Completed
263,9,989,2025-11-16,Economy,27F,239.45,Confirmed
264,211,104,2025-10-05,First Class,29D,3262.91,Confirmed
265,255,721,2025-12-03,Economy,11A,869.46,Cancelled
266,360,115,2026-06-15,Business,38C,1716.57,Confirmed
267,500,727,2026-07-11,Economy,20F,537.42,Confirmed
268,436,25,2026-10-28,Economy,25B,608.65,Confirmed
269,114,902,2025-12-17,Economy,8B,941.86,Confirmed
270,140,751,2026-12-20,Economy,8D,701.21,Confirmed
271,52,95,2026-02-23,Economy,25E,297.39,Cancelled
272,128,514,2026-08-24,First Class,2A,659.06,Confirmed
273,213,594,2026-06-19,Business,37F,1316.63,Confirmed
274,403,248,2026-01-13,Economy,7A,459.04,Confirmed
275,372,496,2026-09-06,First Class,28F,2217.95,Completed
276,284,30,2026-06-22,Economy,30F,430.14,Confirmed
277,303,212,2026-05-01,Economy,10F,970.25,Confirmed
278,109,304,2026-07-14,Economy,23C,493.73,Confirmed
279,123,604,2026-03-10,Economy,16E,702.16,Completed
280,417,669,2026-07-19,First Class,30F,2490.0,Cancelled
281,475,965,2026-01-17,First Class,35A,1845.48,Completed
282,56,752,2026-08-01,Premium Economy,31F,837.23,Confirmed
283,123,839,2026-02-20,Premium Economy,10F,1293.11,Confirmed
284,429,811,2026-09-10,First Class,29B,3115.61,Cancelled
285,313,967,2025-12-18,Economy,9D,148.53,Confirmed
286,359,589,2026-02-20,Economy,30A,81.21,Cancelled
287,234,489,2026-02-17,Economy,26B,122.52,Confirmed
288,209,266,2026-07-20,Business,3A,277.17,Confirmed
289,406,857,2025-10-18,Premium Economy,37F,706.89,Confirmed
290,22,492,2026-07-11,Business,40F,616.53,Confirmed
291,104,224,2026-06-02,Premium Economy,12C,166.9,Confirmed
292,214,773,2026-06-25,Economy,9F,332.66,Confirmed
293,368,490,2026-03-04,Economy,34D,357.97,Confirmed
294,195,506,2026-07-06,Economy,10A,614.54,Completed
295,274,154,2026-02-28,Economy,17E,638.5,Completed
296,61,572,2026-11-01,Business,29F,1602.35,Confirmed
297,14,842,2026-01-07,First Class,28A,2846.15,Confirmed
298,312,1,2026-06-03,Economy,16E,835.31,Confirmed
299,33,697,2026-09-06,First Class,15A,571.53,Cancelled
300,180,621,2025-10-23,Premium Economy,5C,1035.49,Confirmed
301,382,364,2026-06-26,Business,30C,2010.0,Cancelled
302,391,706,2026-06-19,Economy,8B,995.85,Confirmed
303,42,197,2025-12-19,Economy,39E,233.49,Confirmed
304,20,452,2026-06-09,Economy,35E,74.08,Confirmed
305,156,967,2025-12-01,Premium Economy,5D,879.38,Confirmed
306,73,26,2025-09-21,Economy,29B,260.76,Confirmed
307,239,941,2025-11-29,Premium Economy,28D,506.99,Confirmed
308,342,741,2026-08-01,Business,23A,767.35,Completed
309,395,812,2026-04-11,Premium Economy,13F,1231.05,Confirmed
310,124,936,2025-09-20,First Class,40B,804.91,Cancelled
311,58,373,2026-10-02,Premium Economy,32D,1057.87,Confirmed
312,131,184,2026-08-16,Economy,19A,801.31,Completed
313,48,724,2025-11-16,Premium Economy,18E,709.52,Cancelled
314,66,384,2026-01-22,First Class,2F,2136.03,Confirmed
315,363,831,2026-08-03,Economy,26F,209.47,Completed
316,21,606,2025-10-02,Economy,36D,681.89,Confirmed
317,241,635,2026-07-08,Premium Economy,37E,931.18,Cancelled
318,477,712,2026-11-21,Economy,19D,972.18,Confirmed
319,10,555,2026-04-18,Economy,18A,927.87,Cancelled
320,79,153,2026-02-16,Premium Economy,39C,514.02,Confirmed
321,436,817,2025-10-19,Business,22A,130.42,Completed
322,346,23,2025-12-22,Economy,23E,818.44,Completed
323,16,720,2026-09-14,Premium Economy,24D,100.77,Confirmed
324,222,27,2025-12-18,Premium Economy,30D,486.66,Completed
325,383,422,2025-09-20,Premium Economy,1A,812.71,Confirmed
326,185,337,2025-11-06,First Class,15D,1657.52,Confirmed
327,348,14,2026-02-10,Economy,30B,695.14,Confirmed
328,233,955,2026-04-24,Economy,1A,816.18,Confirmed
329,246,405,2026-03-20,Economy,29F,647.42,Cancelled
330,473,780,2026-05-01,Economy,34D,1012.31,Confirmed
331,33,442,2026-07-15,Economy,28E,713.29,Cancelled
332,372,11,2025-12-20,Business,13D,316.71,Completed
333,235,453,2026-11-11,Economy,25B,951.06,Confirmed
334,186,730,2026-05-02,Economy,16A,663.62,Confirmed
335,332,184,2026-08-16,First Class,13D,2576.6,Confirmed
336,398,84,2026-09-21,First Class,13F,2430.8,Confirmed
337,375,457,2026-08-22,Premium Economy,36B,191.12,Confirmed
338,263,119,2026-07-06,Business,1B,1188.39,Cancelled
339,493,227,2025-09-15,Business,6C,1970.47,Confirmed
340,468,258,2025-11-21,First Class,6B,1554.74,Completed
341,274,639,2026-01-04,Economy,39E,111.39,Completed
342,159,836,2025-10-10,Premium Economy,22C,275.18,Completed
343,200,764,2026-07-27,Economy,27D,791.24,Confirmed
344,348,182,2026-02-03,Economy,9C,120.5,Confirmed
345,498,120,2025-08-19,Economy,17C,879.88,Cancelled
346,265,845,2026-02-10,First Class,37B,198.53,Cancelled
347,106,89,2026-06-21,First Class,36A,1650.78,Completed
348,162,661,2026-01-12,Economy,32B,518.86,Confirmed
349,498,540,2026-09-17,Economy,18D,711.2,Confirmed
350,44,540,2026-07-09,Business,4F,1241.82,Confirmed
351,471,268,2026-09-08,Economy,36A,612.48,Confirmed
352,489,393,2026-06-09,Economy,25B,687.13,Confirmed
353,399,324,2026-01-09,Economy,33E,289.54,Confirmed
354,128,832,2026-04-25,First Class,15A,3520.76,Completed
355,305,59,2026-03-18,Economy,22D,565.86,Completed
356,454,212,2026-06-17,First Class,32B,3669.2,Confirmed
357,286,857,2025-07-30,First Class,8F,525.15,Confirmed
358,32,16,2026-10-31,First Class,10F,688.26,Confirmed
359,259,627,2026-06-16,Premium Economy,10E,386.25,Cancelled
360,316,380,2026-01-18,Economy,33C,843.05,Confirmed
361,452,578,2026-05-15,Economy,37A,354.14,Cancelled
362,138,147,2025-12-01,First Class,23B,2370.63,Confirmed
363,320,76,2026-01-17,First Class,5B,2077.95,Cancelled
364,325,795,2026-02-23,Business,20F,1813.39,Cancelled
365,479,837,2025-10-19,First Class,23E,984.43,Completed
366,181,52,2026-04-27,Economy,18E,803.11,Confirmed
367,336,82,2025-12-04,Economy,20E,894.17,Confirmed
368,404,331,2026-01-04,Business,6D,307.03,Confirmed
369,20,479,2026-01-25,Economy,4A,135.47,Completed
370,322,175,2026-06-10,Economy,34F,759.69,Completed
371,165,636,2025-12-13,Premium Economy,29A,328.05,Confirmed
372,191,223,2025-08-23,First Class,18A,1614.53,Completed
373,363,24,2025-10-08,Economy,36D,844.27,Confirmed
374,23,324,2026-01-30,Economy,5C,654.79,Cancelled
375,288,741,2026-06-28,Economy,32B,677.66,Confirmed
376,299,302,2026-04-09,Economy,1A,652.3,Completed
377,229,155,2026-07-25,First Class,7B,1681.65,Confirmed
378,291,858,2025-11-18,First Class,12B,1184.35,Cancelled
379,145,287,2025-12-19,Business,13B,2433.8,Confirmed
380,272,340,2026-01-07,Premium Economy,26D,479.91,Confirmed
381,463,848,2026-04-02,Economy,9A,103.19,Cancelled
382,159,101,2025-12-23,Business,29E,762.97,Cancelled
383,19,316,2025-08-27,Economy,18A,322.16,Cancelled
384,194,273,2025-12-06,Economy,36E,773.08,Confirmed
385,472,165,2026-02-09,Economy,26E,756.42,Confirmed
386,265,611,2026-05-12,Premium Economy,22F,1066.59,Confirmed
387,133,82,2026-03-01,First Class,10A,1697.42,Confirmed
388,449,134,2025-09-05,Economy,10D,261.82,Confirmed
389,430,124,2026-05-29,Business,13A,1606.25,Completed
390,405,387,2026-08-21,Premium Economy,33A,426.53,Confirmed
391,206,839,2025-09-03,Economy,1B,685.84,Confirmed
392,363,33,2025-10-29,Business,5F,2544.11,Confirmed
393,458,46,2025-11-29,Economy,17B,592.63,Cancelled
394,118,725,2026-11-28,First Class,37E,1033.63,Confirmed
395,135,623,2026-05-13,Business,28D,2083.05,Confirmed
396,189,59,2025-10-06,Economy,27F,766.61,Confirmed
397,339,732,2025-10-22,Premium Economy,19B,444.85,Cancelled
398,30,949,2026-04-27,Premium Economy,12F,797.38,Cancelled
399,478,163,2026-04-28,First Class,26D,1311.56,Confirmed
400,363,662,2026-04-02,Premium Economy,26E,179.04,Confirmed
401,279,123,2026-05-30,First Class,28B,1210.07,Confirmed
402,463,633,2026-09-09,Economy,5A,742.63,Confirmed
403,111,873,2026-09-09,Business,13C,2675.56,Confirmed
404,445,290,2025-09-07,Economy,9E,1033.84,Confirmed
405,285,908,2026-07-25,Premium Economy,7B,91.81,Confirmed
406,358,92,2026-02-21,Business,34B,1949.02,Confirmed
407,410,876,2026-02-20,Premium Economy,28A,501.48,Confirmed
408,191,29,2026-03-25,First Class,14F,2002.84,Confirmed
409,212,276,2026-03-15,Premium Economy,5D,776.1,Cancelled
410,179,90,2026-07-06,Premium Economy,23F,278.71,Cancelled
411,104,377,2025-10-26,Economy,6C,1141.28,Cancelled
412,354,593,2026-05-02,Economy,37A,552.7,Completed
413,128,707,2026-12-02,Premium Economy,24D,1400.43,Confirmed
414,229,930,2025-11-11,Economy,23D,467.41,Completed
415,412,665,2026-07-11,First Class,16E,404.34,Cancelled
416,275,710,2026-07-04,Economy,15C,205.8,Completed
417,281,649,2025-10-08,Economy,40F,617.5,Confirmed
418,480,634,2025-12-27,Economy,3E,807.37,Cancelled
419,477,54,2026-06-17,Economy,12D,63.97,Confirmed
420,102,3,2026-09-07,Premium Economy,39F,583.11,Cancelled
421,301,556,2026-03-15,First Class,30C,779.65,Confirmed
422,195,440,2026-06-05,Business,12E,1431.8,Confirmed
423,255,34,2026-10-30,First Class,33A,1551.93,Confirmed
424,249,925,2026-03-03,Premium Economy,12B,554.93,Confirmed
425,265,622,2025-12-31,First Class,21F,1592.15,Confirmed
426,288,167,2026-07-25,Economy,28F,735.12,Confirmed
427,360,815,2026-08-27,Premium Economy,6B,710.23,Cancelled
428,2,481,2026-01-22,Economy,2D,127.95,Confirmed
429,458,771,2026-01-07,First Class,23F,3185.63,Confirmed
430,469,110,2026-04-28,First Class,20E,1261.99,Confirmed
431,123,964,2025-11-28,First Class,32F,957.89,Confirmed
432,414,49,2026-10-04,Economy,14E,566.75,Confirmed
433,340,59,2025-11-04,Premium Economy,31C,1023.63,Completed
434,166,124,2026-05-08,Business,19D,619.49,Confirmed
435,237,697,2026-06-28,Economy,40C,789.59,Completed
436,347,32,2026-04-29,Business,11A,1133.98,Cancelled
437,294,880,2026-10-21,Business,33D,1000.98,Confirmed
438,425,119,2026-06-29,Economy,1A,828.14,Confirmed
439,89,307,2025-12-21,Premium Economy,32E,1211.42,Confirmed
440,182,979,2026-03-03,Premium Economy,35D,594.69,Confirmed
441,152,912,2025-09-21,First Class,36D,2152.26,Completed
442,358,639,2026-04-06,Business,25F,1345.54,Confirmed
443,121,287,2025-11-16,Business,20A,306.52,Confirmed
444,279,334,2026-04-17,Economy,11C,200.14,Completed
445,216,987,2026-05-01,Premium Economy,28A,449.09,Confirmed
446,413,194,2025-11-19,Economy,22B,687.26,Confirmed
447,28,994,2026-05-27,Economy,12F,148.58,Cancelled
448,125,519,2025-10-31,First Class,40A,911.81,Completed
449,236,242,2026-07-22,Business,26A,2005.87,Confirmed
450,32,126,2026-09-14,First Class,3D,4398.17,Confirmed
451,45,959,2026-01-16,Business,26F,1678.39,Cancelled
452,385,604,2025-10-13,First Class,9D,3467.05,Confirmed
453,181,158,2025-10-05,Economy,26D,291.56,Confirmed
454,462,339,2026-04-10,First Class,30F,316.94,Confirmed
455,184,71,2026-03-11,Economy,3A,893.72,Confirmed
456,243,289,2025-12-02,Economy,6A,820.47,Confirmed
457,291,812,2026-06-26,First Class,31A,1428.72,Confirmed
