booking_id,customer_id,flight_id,booking_date,travel_class,seat_number,ticket_price,booking_status,airline_id,departure_airport_id,arrival_airport_id,departure_date,duration_minutes,flight_status,airline_name,country,fleet_size,departure_code,departure_airport_name,departure_city,departure_country,arrival_code,arrival_airport_name,arrival_city,arrival_country,route
68,324,943,2026-02-12,Economy,10F,532.43,Confirmed,12,17,10,2026-06-13,624,Cancelled,Iberia,Spain,388,SYD,Sydney Kingsford Smith Airport,Sydney,Australia,AMS,Amsterdam Airport Schiphol,Amsterdam,Netherlands,SYD → AMS
69,204,754,2026-04-28,Premium Economy,19F,1215.59,Confirmed,18,12,1,2026-05-20,594,Scheduled,United Airlines,USA,434,LAX,Los Angeles International Airport,Los Angeles,USA,CAI,Cairo International Airport,Cairo,Egypt,LAX → CAI
70,118,239,2026-04-12,Economy,6A,856.08,Confirmed,8,19,11,2026-06-24,757,Completed,KLM,Netherlands,170,RUH,King Khalid International Airport,Riyadh,Saudi Arabia,JFK,John F. Kennedy International Airport,New York,USA,RUH → JFK
71,340,583,2026-07-27,First Class,1F,4346.58,Cancelled,19,6,8,2026-12-29,887,Cancelled,Ryanair,Ireland,227,IST,Istanbul Airport,Istanbul,Turkey,CDG,Charles de Gaulle Airport,Paris,France,IST → CDG
72,227,676,2026-12-23,Business,34A,1105.24,Completed,5,19,2,2026-12-24,186,Delayed,Lufthansa,Germany,145,RUH,King Khalid International Airport,Riyadh,Saudi Arabia,HBE,Borg El Arab International Airport,Alexandria,Egypt,RUH → HBE
73,493,956,2026-01-19,Economy,16F,980.94,Cancelled,7,16,13,2026-06-18,135,Delayed,Air France,France,300,BKK,Suvarnabhumi Airport,Bangkok,Thailand,ORD,O'Hare International Airport,Chicago,USA,BKK → ORD
74,297,421,2026-01-19,First Class,2B,4258.71,Confirmed,15,18,6,2026-04-14,594,Delayed,Qantas,Australia,324,MAD,Adolfo Suarez Madrid-Barajas Airport,Madrid,Spain,IST,Istanbul Airport,Istanbul,Turkey,MAD → IST
75,404,636,2026-01-23,Economy,18F,65.69,Cancelled,9,16,10,2026-06-11,263,Delayed,Etihad Airways,UAE,469,BKK,Suvarnabhumi Airport,Bangkok,Thailand,AMS,Amsterdam Airport Schiphol,Amsterdam,Netherlands,BKK → AMS
76,97,216,2026-02-27,Economy,2A,266.65,Confirmed,5,2,18,2026-04-03,616,Scheduled,Lufthansa,Germany,145,HBE,Borg El Arab International Airport,Alexandria,Egypt,MAD,Adolfo Suarez Madrid-Barajas Airport,Madrid,Spain,HBE → MAD
77,98,714,2026-03-10,Economy,35B,871.03,Confirmed,20,13,1,2026-08-07,333,Cancelled,Air Canada,Canada,179,ORD,O'Hare International Airport,Chicago,USA,CAI,Cairo International Airport,Cairo,Egypt,ORD → CAI
78,199,901,2026-03-19,Economy,1A,769.83,Completed,11,9,17,2026-05-09,588,Cancelled,Royal Jordanian,Jordan,231,FRA,Frankfurt Airport,Frankfurt,Germany,SYD,Sydney Kingsford Smith Airport,Sydney,Australia,FRA → SYD
79,308,750,2025-11-02,Economy,36D,596.53,Confirmed,10,15,3,2026-01-08,154,Delayed,Saudia,Saudi Arabia,276,SIN,Singapore Changi Airport,Singapore,Singapore,DXB,Dubai International Airport,Dubai,UAE,SIN → DXB
80,358,589,2026-02-20,Economy,12A,525.0,Confirmed,10,9,19,2026-05-11,467,Cancelled,Saudia,Saudi Arabia,276,FRA,Frankfurt Airport,Frankfurt,Germany,RUH,King Khalid International Airport,Riyadh,Saudi Arabia,FRA → RUH
81,283,666,2026-11-05,Economy,3E,49.66,Confirmed,16,2,13,2026-12-13,213,Scheduled,American Airlines,USA,65,HBE,Borg El Arab International Airport,Alexandria,Egypt,ORD,O'Hare International Airport,Chicago,USA,HBE → ORD
82,164,364,2026-07-12,Premium Economy,8F,1317.86,Completed,3,13,5,2026-07-22,177,Completed,Qatar Airways,Qatar,393,ORD,O'Hare International Airport,Chicago,USA,DOH,Hamad International Airport,Doha,Qatar,ORD → DOH
83,225,682,2026-02-04,Business,23F,1290.62,Confirmed,17,11,20,2026-06-02,337,Delayed,Delta Airlines,USA,216,JFK,John F. Kennedy International Airport,New York,USA,AMM,Queen Alia International Airport,Amman,Jordan,JFK → AMM
84,238,167,2026-07-29,Premium Economy,12C,551.33,Confirmed,18,15,14,2026-10-23,859,Completed,United Airlines,USA,434,SIN,Singapore Changi Airport,Singapore,Singapore,YYZ,Toronto Pearson International Airport,Toronto,Canada,SIN → YYZ
85,331,507,2026-07-10,Premium Economy,34E,319.52,Confirmed,11,11,14,2026-12-22,85,Completed,Royal Jordanian,Jordan,231,JFK,John F. Kennedy International Airport,New York,USA,YYZ,Toronto Pearson International Airport,Toronto,Canada,JFK → YYZ
86,461,437,2025-11-11,Economy,3F,489.48,Confirmed,1,1,4,2026-03-26,276,Completed,EgyptAir,Egypt,139,CAI,Cairo International Airport,Cairo,Egypt,AUH,Zayed International Airport,Abu Dhabi,UAE,CAI → AUH
87,484,921,2026-04-09,Economy,26F,483.18,Confirmed,2,13,18,2026-05-24,434,Scheduled,Emirates,UAE,78,ORD,O'Hare International Airport,Chicago,USA,MAD,Adolfo Suarez Madrid-Barajas Airport,Madrid,Spain,ORD → MAD
88,323,409,2026-07-04,Premium Economy,14E,383.96,Confirmed,20,8,4,2026-11-15,255,Scheduled,Air Canada,Canada,179,CDG,Charles de Gaulle Airport,Paris,France,AUH,Zayed International Airport,Abu Dhabi,UAE,CDG → AUH
89,404,824,2026-06-03,Economy,16F,737.99,Completed,5,4,13,2026-07-08,876,Scheduled,Lufthansa,Germany,145,AUH,Zayed International Airport,Abu Dhabi,UAE,ORD,O'Hare International Airport,Chicago,USA,AUH → ORD
90,156,291,2026-04-18,First Class,5D,983.36,Completed,16,3,13,2026-06-06,801,Completed,American Airlines,USA,65,DXB,Dubai International Airport,Dubai,UAE,ORD,O'Hare International Airport,Chicago,USA,DXB → ORD
91,309,667,2025-11-30,Economy,9F,121.89,Confirmed,13,18,10,2026-04-14,870,Delayed,Singapore Airlines,Singapore,298,MAD,Adolfo Suarez Madrid-Barajas Airport,Madrid,Spain,AMS,Amsterdam Airport Schiphol,Amsterdam,Netherlands,MAD → AMS
92,436,158,2025-11-06,Economy,8E,998.47,Confirmed,3,3,1,2026-02-02,245,Delayed,Qatar Airways,Qatar,393,DXB,Dubai International Airport,Dubai,UAE,CAI,Cairo International Airport,Cairo,Egypt,DXB → CAI
93,354,339,2026-05-24,Premium Economy,13D,545.34,Confirmed,15,1,8,2026-07-27,259,Cancelled,Qantas,Australia,324,CAI,Cairo International Airport,Cairo,Egypt,CDG,Charles de Gaulle Airport,Paris,France,CAI → CDG
94,427,473,2025-08-09,Premium Economy,12A,561.54,Cancelled,4,13,20,2026-01-30,194,Completed,Turkish Airlines,Turkey,314,ORD,O'Hare International Airport,Chicago,USA,AMM,Queen Alia International Airport,Amman,Jordan,ORD → AMM
95,253,231,2026-03-27,Premium Economy,9F,180.68,Confirmed,15,12,18,2026-05-18,534,Completed,Qantas,Australia,324,LAX,Los Angeles International Airport,Los Angeles,USA,MAD,Adolfo Suarez Madrid-Barajas Airport,Madrid,Spain,LAX → MAD
96,198,85,2025-11-19,Premium Economy,3E,1471.84,Cancelled,18,8,17,2026-02-25,597,Completed,United Airlines,USA,434,CDG,Charles de Gaulle Airport,Paris,France,SYD,Sydney Kingsford Smith Airport,Sydney,Australia,CDG → SYD
97,201,21,2026-03-13,First Class,31D,2339.1,Completed,4,4,19,2026-06-02,659,Completed,Turkish Airlines,Turkey,314,AUH,Zayed International Airport,Abu Dhabi,UAE,RUH,King Khalid International Airport,Riyadh,Saudi Arabia,AUH → RUH
98,307,104,2025-08-21,First Class,24E,690.88,Confirmed,16,7,20,2026-01-13,460,Delayed,American Airlines,USA,65,LHR,Heathrow Airport,London,UK,AMM,Queen Alia International Airport,Amman,Jordan,LHR → AMM
99,50,92,2026-02-23,Premium Economy,4B,560.22,Completed,9,2,20,2026-06-13,535,Scheduled,Etihad Airways,UAE,469,HBE,Borg El Arab International Airport,Alexandria,Egypt,AMM,Queen Alia International Airport,Amman,Jordan,HBE → AMM
100,48,531,2026-08-04,Premium Economy,11C,461.05,Confirmed,8,16,8,2026-08-13,248,Delayed,KLM,Netherlands,170,BKK,Suvarnabhumi Airport,Bangkok,Thailand,CDG,Charles de Gaulle Airport,Paris,France,BKK → CDG
101,401,462,2026-03-01,Economy,40E,698.34,Completed,9,18,1,2026-07-04,588,Completed,Etihad Airways,UAE,469,MAD,Adolfo Suarez Madrid-Barajas Airport,Madrid,Spain,CAI,Cairo International Airport,Cairo,Egypt,MAD → CAI
102,302,712,2026-07-03,Business,18C,830.91,Confirmed,5,15,8,2026-12-04,265,Scheduled,Lufthansa,Germany,145,SIN,Singapore Changi Airport,Singapore,Singapore,CDG,Charles de Gaulle Airport,Paris,France,SIN → CDG
103,67,171,2025-08-09,Business,23F,854.12,Confirmed,14,1,14,2026-02-03,419,Completed,Thai Airways,Thailand,274,CAI,Cairo International Airport,Cairo,Egypt,YYZ,Toronto Pearson International Airport,Toronto,Canada,CAI → YYZ
104,163,423,2026-05-19,Premium Economy,5D,481.62,Completed,1,7,12,2026-10-28,299,Cancelled,EgyptAir,Egypt,139,LHR,Heathrow Airport,London,UK,LAX,Los Angeles International Airport,Los Angeles,USA,LHR → LAX
105,134,995,2026-09-12,Economy,7F,133.15,Confirmed,11,11,13,2026-12-25,600,Delayed,Royal Jordanian,Jordan,231,JFK,John F. Kennedy International Airport,New York,USA,ORD,O'Hare International Airport,Chicago,USA,JFK → ORD
106,53,272,2026-01-08,Business,25B,169.19,Cancelled,5,17,15,2026-05-18,618,Completed,Lufthansa,Germany,145,SYD,Sydney Kingsford Smith Airport,Sydney,Australia,SIN,Singapore Changi Airport,Singapore,Singapore,SYD → SIN
107,29,200,2026-05-27,Economy,31B,744.72,Confirmed,5,4,6,2026-06-19,292,Delayed,Lufthansa,Germany,145,AUH,Zayed International Airport,Abu Dhabi,UAE,IST,Istanbul Airport,Istanbul,Turkey,AUH → IST
108,296,1000,2025-10-27,Economy,5E,318.58,Completed,20,16,4,2026-02-21,595,Delayed,Air Canada,Canada,179,BKK,Suvarnabhumi Airport,Bangkok,Thailand,AUH,Zayed International Airport,Abu Dhabi,UAE,BKK → AUH
109,96,22,2026-06-01,Premium Economy,31F,531.43,Cancelled,16,5,16,2026-07-26,189,Scheduled,American Airlines,USA,65,DOH,Hamad International Airport,Doha,Qatar,BKK,Suvarnabhumi Airport,Bangkok,Thailand,DOH → BKK
110,368,112,2026-01-07,Economy,18D,85.57,Confirmed,12,16,2,2026-03-21,595,Cancelled,Iberia,Spain,388,BKK,Suvarnabhumi Airport,Bangkok,Thailand,HBE,Borg El Arab International Airport,Alexandria,Egypt,BKK → HBE
111,62,717,2025-12-02,Premium Economy,4F,343.14,Cancelled,9,11,12,2026-02-06,881,Completed,Etihad Airways,UAE,469,JFK,John F. Kennedy International Airport,New York,USA,LAX,Los Angeles International Airport,Los Angeles,USA,JFK → LAX
112,93,769,2026-04-25,First Class,37B,758.47,Confirmed,13,11,20,2026-04-30,465,Cancelled,Singapore Airlines,Singapore,298,JFK,John F. Kennedy International Airport,New York,USA,AMM,Queen Alia International Airport,Amman,Jordan,JFK → AMM
